"date","state","value"
2010-01-01,"MO",295986.5
2011-01-01,"MO",292984.3
2012-01-01,"MO",296514.3
2013-01-01,"MO",302025.7
2014-01-01,"MO",303617.9
2015-01-01,"MO",308009.9
2016-01-01,"MO",308423.3
2017-01-01,"MO",311273.8
2018-01-01,"MO",314182.4
2019-01-01,"MO",321329.1
2020-01-01,"MO",315332.6
2021-01-01,"MO",331580.9
2022-01-01,"MO",339652.5
2023-01-01,"MO",348487.4
2024-01-01,"MO",356653.4
2005-01-01,"MT",38849
2006-01-01,"MT",40055
2007-01-01,"MT",42057.7
2008-01-01,"MT",42049.3
2009-01-01,"MT",40938.4
2010-01-01,"MT",42469.8
2011-01-01,"MT",43532.2
2012-01-01,"MT",44329.1
2013-01-01,"MT",45114.7
2014-01-01,"MT",46166.7
2015-01-01,"MT",47765.6
2016-01-01,"MT",47189.6
2017-01-01,"MT",48470.5
2018-01-01,"MT",49455
2019-01-01,"MT",50263.5
2020-01-01,"MT",49981.5
2021-01-01,"MT",53303.7
2022-01-01,"MT",55193.9
2023-01-01,"MT",57373.3
2024-01-01,"MT",58519.7
2005-01-01,"NE",94556
2006-01-01,"NE",97322.8
2007-01-01,"NE",99780.8
2008-01-01,"NE",99860.1
2009-01-01,"NE",99986.4
2010-01-01,"NE",103940.8
2011-01-01,"NE",109734.2
2012-01-01,"NE",109686.3
2013-01-01,"NE",111382.2
2014-01-01,"NE",115651.9
2015-01-01,"NE",119640.9
2016-01-01,"NE",121303.1
2017-01-01,"NE",123219.9
2018-01-01,"NE",125543.5
2019-01-01,"NE",127568.9
2020-01-01,"NE",126734.9
2021-01-01,"NE",134939.9
2022-01-01,"NE",139441
2023-01-01,"NE",145019.7
2024-01-01,"NE",145909.4
2005-01-01,"NV",150680.9
2006-01-01,"NV",156297.9
2007-01-01,"NV",157734.3
2008-01-01,"NV",152745.6
2009-01-01,"NV",140304.3
2010-01-01,"NV",142614.2
2011-01-01,"NV",144341.2
2012-01-01,"NV",142986.1
2013-01-01,"NV",144549.3
2014-01-01,"NV",145303.6
2015-01-01,"NV",151055.9
2016-01-01,"NV",156007.4
2017-01-01,"NV",163199.1
2018-01-01,"NV",168638.5
2019-01-01,"NV",176029.7
2020-01-01,"NV",166077
2021-01-01,"NV",182474.1
2022-01-01,"NV",190463.3
2023-01-01,"NV",195405.6
2024-01-01,"NV",200921.4
2005-01-01,"NH",69556.2
2006-01-01,"NH",71424.5
2007-01-01,"NH",71943.5
2008-01-01,"NH",71195.6
2009-01-01,"NH",70498.6
2010-01-01,"NH",72950.4
2011-01-01,"NH",73465
2012-01-01,"NH",74082.8
2013-01-01,"NH",75503.4
2014-01-01,"NH",76836.2
2015-01-01,"NH",79319.3
2016-01-01,"NH",80736.1
2017-01-01,"NH",81179.6
2018-01-01,"NH",82269.5
2019-01-01,"NH",84438.2
2020-01-01,"NH",83152.6
2021-01-01,"NH",89949.3
2022-01-01,"NH",91416.1
2023-01-01,"NH",93466.7
2024-01-01,"NH",96501.1
2005-01-01,"NJ",546357.8
2006-01-01,"NJ",555211
2007-01-01,"NJ",560823.8
2008-01-01,"NJ",573202.7
2009-01-01,"NJ",546362.2
2010-01-01,"NJ",554764.4
